"UKPRN","HE provider","First class honours","Upper second class honours","Lower second class honours","Third class honours/Pass","Unclassified","First degree"
"10008071","AA School of Architecture","0","0","0","0","80","80"
"10007783","The University of Aberdeen","570","1,045","215","25","290","2,145"
"10019746","ABI College Limited","0","0","0","0","0","0"
"10007849","Abertay University","95","365","210","25","120","815"
"10007856","Aberystwyth University","230","900","455","50","0","1,630"
"10000080","Access to Music Limited","5","15","5","0","0","25"
"10000248","Academy of Live and Recorded Arts","10","35","5","0","0","50"
"10000163","AECC University College","10","10","5","0","0","20"
"10000291","Anglia Ruskin University","1,380","1,545","795","235","10","3,965"
"10041898","Apex College London","0","0","0","0","0","0"
"10005451","Arden University","20","65","45","15","0","140"
"10000381","Arts Educational Schools","15","60","5","0","0","85"
"10007759","Aston University","600","1,160","310","15","40","2,125"
"10007857","Bangor University","680","1,025","555","125","15","2,400"
"10000571","Bath Spa University","290","1,115","335","45","10","1,795"
"10007850","The University of Bath","1,005","1,625","315","30","0","2,980"
"10007152","University of Bedfordshire","475","950","600","210","5","2,240"
"10005343","Queen's University Belfast","1,150","1,880","510","65","270","3,880"
"10037544","BIMM Limited","210","575","370","115","0","1,270"
"10007760","Birkbeck College","225","435","390","50","0","1,100"
"10007140","Birmingham City University","1,350","2,080","1,070","295","105","4,900"
"10006840","The University of Birmingham","1,765","2,885","605","105","515","5,875"
"10000712","University College Birmingham","360","410","365","115","0","1,245"
"10000894","Bristol Baptist College","0","5","0","0","0","5"
"10007811","Bishop Grosseteste University","105","265","140","25","0","535"
"10004061","Bloomsbury Institute","30","60","50","10","0","145"
"10006841","The University of Bolton","205","370","290","80","20","965"
"10000385","The Arts University Bournemouth","205","520","235","135","0","1,095"
"10000824","Bournemouth University","725","1,925","615","200","0","3,465"
"10031982","BPP University","45","130","175","25","25","400"
"10007785","The University of Bradford","610","795","350","35","220","2,015"
"10000886","The University of Brighton","870","1,865","955","100","210","4,005"
"10000936","The University College of Osteopathy","0","0","0","0","85","85"
"10007786","The University of Bristol","1,365","2,510","390","55","400","4,720"
"10028216","Brit College","0","0","0","0","0","0"
"10023464","Trinity College Bristol","0","10","5","0","0","15"
"10000961","Brunel University London","630","1,275","515","100","70","2,585"
"10000975","Buckinghamshire New University","315","675","400","250","0","1,640"
"10007787","The University of Buckingham","80","135","85","5","0","305"
"10022021","UK College of Business and Computing","0","5","10","10","0","25"
